代理源 浙江移动,#genre#
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】刘宏宇2-4黄佳浩（涂子轩） 02:00,http://112.11.122.190:58503/967637584
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】吕昊天2-4路易·希斯科特（卢正浩） 02:00,http://112.11.122.190:58503/967646955
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】范争一1-4利亚姆·戴维斯（陶哲铭） 02:00,http://112.11.122.190:58503/967639457
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】大卫·利利1-4王信伯（赛场原声） 02:00,http://112.11.122.190:58503/967637735
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】贺国强4-3赵翰洋（赛场原声） 02:00,http://112.11.122.190:58503/967646558
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】刘宏宇2-4黄佳浩（赛场原声） 02:00,http://112.11.122.190:58503/967638871
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】杰米·琼斯4-2许医尘（赛场原声） 02:00,http://112.11.122.190:58503/967645730
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】吕昊天2-4路易·希斯科特（赛场原声） 02:00,http://112.11.122.190:58503/967643530
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】袁思俊1-4马特乌斯·巴拉诺夫斯基（赛场原声） 02:00,http://112.11.122.190:58503/967637682
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】安东尼·麦克吉尔4-1刘杨（赛场原声） 02:00,http://112.11.122.190:58503/967639263
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】范争一1-4利亚姆·戴维斯（赛场原声） 02:00,http://112.11.122.190:58503/967639896
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】本·默滕斯4-0尤里安·博伊科（赛场原声） 02:00,http://112.11.122.190:58503/967639498
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】马修·塞尔特4-0安东尼·科瓦尔斯基（赛场原声） 02:00,http://112.11.122.190:58503/967645611
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】亚伦·希尔4-3罗斯·缪尔（赛场原声） 02:00,http://112.11.122.190:58503/967641854
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】吉米·罗伯逊1-4阿尔菲·博登（赛场原声） 02:00,http://112.11.122.190:58503/967639665
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】辛格·查达1-4山姆·克雷吉（赛场原声） 02:00,http://112.11.122.190:58503/967643133
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】马修·史蒂文斯4-1傅家俊（赛场原声） 02:00,http://112.11.122.190:58503/967646820
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 【回放】徐思4-2吉米·怀特（赛场原声） 02:00,http://112.11.122.190:58503/967646849
斯诺克 贺国强4-3赵翰洋 傅家俊遭淘汰 26/27赛季斯诺克北爱尔兰公开赛资格赛第2轮回放：里奇·沃顿4-3伊安·伯恩斯（赛场原声） 02:00,http://112.11.122.190:58503/967648539
NBA经典赛事 NBA精彩重播：森林狼vs火箭 全场回放（孙博、周鹏） 18:00,http://112.11.122.190:58503/964112292
CPB中国棒球城市联赛 福州海侠11-6北京正大龙 2026赛季CPB中国棒球城市联赛上海赛区全场回放：福州海侠11-6北京正大龙（官方解说） 18:00,http://112.11.122.190:58503/967641572
亚冠精英 拉查武里VS上海海港 全场回放（娄一晨、刘越、邵凌霄） 17:45,http://112.11.122.190:58503/967638123
亚冠精英 大阪钢巴VS河内公安 全场回放（张昊泽） 17:45,http://112.11.122.190:58503/967638327
亚冠精英 大田韩亚市民VS京都不死鸟 全场回放（鲁靖明） 17:45,http://112.11.122.190:58503/967637663
亚冠精英 鹿岛鹿角VS纽卡斯尔喷气机足球俱乐部 全场回放（孙雨轩） 17:45,http://112.11.122.190:58503/967638228
CPB中国棒球城市联赛 上海虎鲸6-2长沙旺旺 2026赛季CPB中国棒球城市联赛深圳赛区全场回放：上海虎鲸6-2长沙旺旺（官方解说） 18:30,http://112.11.122.190:58503/967641574
浙BA 安吉85-81江山 2026浙江省城市篮球联赛全场回放：安吉vs江山（赛场原声） 19:30,http://112.11.122.190:58503/967640204
浙BA 绍兴74-77丽水 2026浙江省城市篮球联赛全场回放：绍兴vs丽水（赛场原声） 19:30,http://112.11.122.190:58503/967640033
WTT 李和宸止步 于海洋1-3川上流星 全场回放（李柯鑫） 20:00,http://112.11.122.190:58503/967639517
WTT 李和宸止步 于海洋1-3川上流星 全场回放（一号桌） 20:00,http://112.11.122.190:58503/967641306
WTT 李和宸止步 于海洋1-3川上流星 全场回放（二号桌） 20:00,http://112.11.122.190:58503/967641416
WTT 李和宸止步 于海洋1-3川上流星 全场回放（三号桌） 20:00,http://112.11.122.190:58503/967639857
WTT 李和宸止步 于海洋1-3川上流星 全场回放（四号桌） 20:00,http://112.11.122.190:58503/967640051
亚冠精英 北京国安VS浦项铁人 全场回放（苏东、董方卓、林梦鸽） 20:00,http://112.11.122.190:58503/967639772
亚冠精英 柔佛新山VS武里南联 全场回放（盛斌） 20:00,http://112.11.122.190:58503/967639716
亚冠二级 阿尔卡达格VS穆哈拉格 全场回放（张天翼） 21:30,http://112.11.122.190:58503/967641408
亚冠二级 戈尔戈哈尔锡尔詹VS阿布扎比半岛足球俱乐部 全场回放（洪宇青） 21:30,http://112.11.122.190:58503/967641410
意大利杯 热那亚VS南蒂罗尔 全场回放（张天翼） 23:45,http://112.11.122.190:58503/967642631
亚冠精英 艾因VS利雅得胜利 全场回放（鲁靖明） 23:45,http://112.11.122.190:58503/967644293
西甲 巴列卡诺VS西班牙人 全场回放（周楚雄） 00:45,http://112.11.122.190:58503/967644361
西甲 阿拉维斯VS瓦伦西亚 全场回放（孙雨轩） 01:45,http://112.11.122.190:58503/967645398
亚冠精英 利雅得新月VS加拉法体育 全场回放（兰子非） 02:00,http://112.11.122.190:58503/967646157
意大利杯 佛罗伦萨VS比萨 全场回放（石庆圣） 02:45,http://112.11.122.190:58503/967646114
WTA 贝莱克、斯特恩斯闯进八强 【回放】斯蒂芬斯2-0曾丽美（赛场原声） 03:00,http://112.11.122.190:58503/967652595
WTA 贝莱克、斯特恩斯闯进八强 【回放】布克沙2-0乌德瓦尔迪（赛场原声） 03:00,http://112.11.122.190:58503/967646289
WTA 贝莱克、斯特恩斯闯进八强 【回放】帕克斯0-2贝莱克（赛场原声） 03:00,http://112.11.122.190:58503/967646750
WTA 贝莱克、斯特恩斯闯进八强 【回放】帕里0-2斯特恩斯（赛场原声） 03:00,http://112.11.122.190:58503/967648619
WTA 贝莱克、斯特恩斯闯进八强 【回放】布克沙2-0乌德瓦尔迪（英文原声） 03:00,http://112.11.122.190:58503/967646292
WTA 贝莱克、斯特恩斯闯进八强 【回放】帕克斯0-2贝莱克（英文原声） 03:00,http://112.11.122.190:58503/967646763
WTA 贝莱克、斯特恩斯闯进八强 【回放】帕里0-2斯特恩斯（英文原声） 03:00,http://112.11.122.190:58503/967648674
WTA 贝莱克、斯特恩斯闯进八强 【回放】斯蒂芬斯2-0曾丽美（英文原声） 03:00,http://112.11.122.190:58503/967651954
西甲 埃尔切VS皇家马德里 全场回放（林梦鸽、孙雷） 03:15,http://112.11.122.190:58503/967646520
UFC白大拿挑战者系列赛 五场比赛4场终结4人圆梦UFC获合同 全场（赛场原声） 06:55,http://112.11.122.190:58503/967649651
黄金健美超级联赛 2026年黄金健美超级联赛自然赛 解说 10:00,http://112.11.122.190:58503/967630172
WTT 李天阳争晋级 徐瑛彬迎战马尔金 张靖松 14:00,http://112.11.122.190:58503/967523271
WTT 李天阳争晋级 徐瑛彬迎战马尔金 1号桌 14:00,http://112.11.122.190:58503/967519553
WTT 李天阳争晋级 徐瑛彬迎战马尔金 3号桌 14:00,http://112.11.122.190:58503/967521791
WTT 李天阳争晋级 徐瑛彬迎战马尔金 2号桌 14:00,http://112.11.122.190:58503/967521534
WTT 李天阳争晋级 徐瑛彬迎战马尔金 4号桌 14:00,http://112.11.122.190:58503/967521927
肇东杯 男女单打第一、二阶段 赛场原声 14:00,http://112.11.122.190:58503/967628251
斯诺克 龙泽煌PK高阳 姚朋成迎战穆迪 涂子轩 17:00,http://112.11.122.190:58503/967568830
斯诺克 龙泽煌PK高阳 姚朋成迎战穆迪 熊冕 17:00,http://112.11.122.190:58503/967568823
斯诺克 龙泽煌PK高阳 姚朋成迎战穆迪 1号桌 17:00,http://112.11.122.190:58503/967523701
斯诺克 龙泽煌PK高阳 姚朋成迎战穆迪 2号桌 17:00,http://112.11.122.190:58503/967523721
斯诺克 龙泽煌PK高阳 姚朋成迎战穆迪 3号桌 17:00,http://112.11.122.190:58503/967523725
斯诺克 龙泽煌PK高阳 姚朋成迎战穆迪 4号桌 17:00,http://112.11.122.190:58503/967523735
NBA经典赛事 NBA精彩重播：勇士vs快船 杨健 曾令旭 王润陶 18:00,http://112.11.122.190:58503/966323993
亚冠精英 全北现代VS柏太阳神 涂远 17:45,http://112.11.122.190:58503/967476350
亚冠精英 全北现代VS柏太阳神 赛场原声 17:45,http://112.11.122.190:58503/967476345
亚冠二级 首尔VS万隆 刘洋 17:45,http://112.11.122.190:58503/967476976
亚冠二级 首尔VS万隆 赛场原声 17:45,http://112.11.122.190:58503/967477500
CPB中国棒球城市联赛 上海虎鲸VS深圳蓝袜 清流播出 18:30,http://112.11.122.190:58503/967034674
浙BA 桐乡VS杭州 赛场原声 19:30,http://112.11.122.190:58503/967444354
浙BA 余姚VS普陀 赛场原声 19:30,http://112.11.122.190:58503/967444360
海河超儿 南开VS河北 赛场原声 20:00,http://112.11.122.190:58503/967445595
WTT 韩菲儿冲正赛 李天阳/朱思冰PK韩国组合 高文清 20:00,http://112.11.122.190:58503/967523640
WTT 韩菲儿冲正赛 李天阳/朱思冰PK韩国组合 1号桌 20:00,http://112.11.122.190:58503/967519642
WTT 韩菲儿冲正赛 李天阳/朱思冰PK韩国组合 2号桌 20:00,http://112.11.122.190:58503/967521565
WTT 韩菲儿冲正赛 李天阳/朱思冰PK韩国组合 3号桌 20:00,http://112.11.122.190:58503/967521812
WTT 韩菲儿冲正赛 李天阳/朱思冰PK韩国组合 4号桌 20:00,http://112.11.122.190:58503/967521949
亚冠精英 泰港VS神户胜利船 盛斌 20:00,http://112.11.122.190:58503/967476388
亚冠精英 泰港VS神户胜利船 赛场原声 20:00,http://112.11.122.190:58503/967476363
亚冠二级 电讯体工VS墨尔本胜利 乔迁 20:00,http://112.11.122.190:58503/967477000
亚冠二级 电讯体工VS墨尔本胜利 赛场原声 20:00,http://112.11.122.190:58503/967477513
亚冠二级 伊尔比德侯赛因VS东孟加拉 周楚雄 23:45,http://112.11.122.190:58503/967476526
亚冠二级 伊尔比德侯赛因VS东孟加拉 赛场原声 23:45,http://112.11.122.190:58503/967477420
亚冠二级 阿尔纳达VS布赖代合作 吴子越 23:45,http://112.11.122.190:58503/967475538
亚冠二级 阿尔纳达VS布赖代合作 赛场原声 23:45,http://112.11.122.190:58503/967477406
亚冠二级 永恒体育VS纳萨夫 乔迁 23:45,http://112.11.122.190:58503/967475527
