央视,#genre#
民视台湾台,http://free.cnlive.club/channel/n4bbbe8c9/index.m3u8?q=36.44.99.42
中天综合,http://free.cnlive.club/channel/41db6ede/index.m3u8?q=36.44.99.42
中天娱乐,http://free.cnlive.club/channel/41d6f491/index.m3u8?q=36.44.99.42
中天亚洲,http://free.cnlive.club/channel/41d5ac2a/index.m3u8?q=36.44.99.42
中天新闻,http://free.cnlive.club/channel/41d8a09d/index.m3u8?q=36.44.99.42
寰宇新闻台,http://free.cnlive.club/channel/n43c34be8/index.m3u8?q=36.44.99.42
寰宇财经台,http://free.cnlive.club/channel/n4332074a/index.m3u8?q=36.44.99.42
八大第一台,http://free.cnlive.club/channel/2733018a/index.m3u8?q=36.44.99.42
八大综合台,http://free.cnlive.club/channel/27420c52/index.m3u8?q=36.44.99.42
八大戏剧台,http://free.cnlive.club/channel/26d54426/index.m3u8?q=36.44.99.42
八大娱乐台,http://free.cnlive.club/channel/26b73cff/index.m3u8?q=36.44.99.42
纬来体育,http://free.cnlive.club/channel/5816d06e/index.m3u8?q=36.44.99.42
纬来精彩,http://free.cnlive.club/channel/581c2f1a/index.m3u8?q=36.44.99.42
纬来综合,http://free.cnlive.club/channel/581c693b/index.m3u8?q=36.44.99.42
纬来育乐,http://free.cnlive.club/channel/581c988d/index.m3u8?q=36.44.99.42
爱尔达综合台,http://free.cnlive.club/channel/n20929de1/index.m3u8?q=36.44.99.42
爱尔达影剧台,http://free.cnlive.club/channel/n2109392b/index.m3u8?q=36.44.99.42
爱尔达体育1台,http://free.cnlive.club/channel/n6cd87fd/index.m3u8?q=36.44.99.42
爱尔达体育2台,http://free.cnlive.club/channel/n6cd87de/index.m3u8?q=36.44.99.42
爱尔达体育3台,http://free.cnlive.club/channel/n6cd87bf/index.m3u8?q=36.44.99.42
非凡新闻,http://free.cnlive.club/channel/6302a884/index.m3u8?q=36.44.99.42
年代新闻,http://free.cnlive.club/channel/49184630/index.m3u8?q=36.44.99.42
龙华戏剧,http://free.cnlive.club/channel/66c51883/index.m3u8?q=36.44.99.42
龙华偶像,http://free.cnlive.club/channel/66c2f564/index.m3u8?q=36.44.99.42
龙华电影,http://free.cnlive.club/channel/66c77727/index.m3u8?q=36.44.99.42
龙华洋片,http://free.cnlive.club/channel/66c68ce7/index.m3u8?q=36.44.99.42
龙华经典,http://free.cnlive.club/channel/66c892d4/index.m3u8?q=36.44.99.42
靖天国际,http://free.cnlive.club/channel/63189371/index.m3u8?q=36.44.99.42
靖天卡通,http://free.cnlive.club/channel/63181d62/index.m3u8?q=36.44.99.42
大愛電視,http://free.cnlive.club/channel/46f9ba85/index.m3u8?q=36.44.99.42
大愛二台,http://free.cnlive.club/channel/46f0bf6e/index.m3u8?q=36.44.99.42
EYE旅游台,http://free.cnlive.club/channel/28efa38/index.m3u8?q=36.44.99.42
EYE戏剧台,http://free.cnlive.club/channel/27dadb3/index.m3u8?q=36.44.99.42
亚洲美食,http://free.cnlive.club/channel/4258879f/index.m3u8?q=36.44.99.42
美食星球,http://free.cnlive.club/channel/5939fd4b/index.m3u8?q=36.44.99.42
TLC旅遊生活,http://free.cnlive.club/channel/34964cb6/index.m3u8?q=36.44.99.42
亚洲旅游台,http://free.cnlive.club/channel/852ca6f/index.m3u8?q=36.44.99.42
Arirang,http://free.cnlive.club/channel/5a358dea/index.m3u8?q=36.44.99.42
